Text: making lunch | Sentiment: Negative
Text: damn hate evopvpserver | Sentiment: Negative
Text: want get indicted amp watch kids go jail want die trump https co bpmdxzujoo | Sentiment: Negative
Text: ok legit question fucking kill done life | Sentiment: Negative
Text: willcarling ski jumping going beat missus yet | Sentiment: Negative
Text: lakezuriche hope fucken change cause damn hate | Sentiment: Negative
Text: really good helpful various crisis dc universe read http com | Sentiment: Negative
Text: ericboehlert nothing live nasty | Sentiment: Negative
Text: lovely night best boyfriend two good friends | Sentiment: Negative
Text: girlfriend left hate college direction life want go sleep never wake ive thinking suicide lot recently different methods reason havent done far much pussy access enough drugs overdose live near plenty tall buildings seeing therapist psychiatrist pills given exacerbated symptoms dont care leaving everything behind dont want hurt people around go living shit life others arent inconvenienced one days drunk enough finally pull trigger figuratively literally | Sentiment: Positive
Text: kateedwards dont bring anything yr place katesparty | Sentiment: Negative
Text: rosie think gon na single forever | Sentiment: Negative
Text: codyks chick fil bonus | Sentiment: Negative
Text: yeah around glad liked interview steve cotter quigong sucha valuable part training | Sentiment: Negative
Text: theosoft want know modx cms maybe help | Sentiment: Positive
Text: home school yay bad actually nice dinner graceeeeee | Sentiment: Negative
Text: im hoping stress level go aunt gone cant relax exhausted focus dam https co | Sentiment: Negative
Text: ghostbusterz friend knew online last night finally added messenger | Sentiment: Negative
Text: jst sneezed twice thinks least one ghost house | Sentiment: Negative
Text: wanicullen thanks wani | Sentiment: Negative
Text: vanessawhite haha get stress | Sentiment: Negative
Text: nanu added little grist mill | Sentiment: Negative
Text: niki dyer marcorubio want every vote counted matter voter dead move different precinct ou https co | Sentiment: Negative
Text: yogadork barefoot range great alternative need wear shoes allow foot move though barefoot | Sentiment: Negative
Text: perks ugly deserve award something least gon na die alone | Sentiment: Negative
Text: rt camphalfblood random commenter asked extreme social warrior agenda magnus chase calls extreme social jus | Sentiment: Negative
Text: tuesday work still riding high workout last night good day | Sentiment: Negative
Text: sad protect cats know whats ever bothering know stuff https co | Sentiment: Negative
Text: never war get terrible nightmares wake fighting life thisisus ptsd | Sentiment: Negative
Text: cool http www onlinemarktplatz de twitter fieber bei ebay | Sentiment: Negative
Text: ok dinner rocked | Sentiment: Negative
Text: stuck every time try kill cant go cant keep living feeling way cant let die | Sentiment: Positive
Text: damn hate type fast autocorrect changes go unnoticed smh | Sentiment: Negative
Text: rt sirpatricia shes best https co | Sentiment: Negative
Text: bobby bobbles snovvvhite live best life | Sentiment: Negative
Text: want truth | Sentiment: Negative
Text: fussy age long females changed rules lol | Sentiment: Negative
Text: gon na go ahead kill already done fucking day | Sentiment: Negative
Text: wait mum fucking die wait die going lie train day foolow suiti wait would kill able kill sooner two intimate relationship short kill guns forbiden country got knife brick cant bloody slow method anything tonsils stink hate human stench forms except dashas shits hate body hate arteries nose lips saliva eyes hate human body except dashas one want fuck dasha | Sentiment: Positive
Text: taniauncensored tania think get athene rest crew twitter | Sentiment: Negative
Text: jackhii got yr pic posing server room | Sentiment: Negative
Text: bye bye going sleep finally xdddd | Sentiment: Negative
Text: working film busy nice day everyone | Sentiment: Negative
Text: want die go commit suicide give injection unconconscious end nightmare life want die | Sentiment: Positive
Text: want play | Sentiment: Negative
Text: thanks everyone sent work year pleased know planted trees india profits | Sentiment: Negative
Text: notice giving life becoming alcoholic bc miserable want die farewell ill drunk | Sentiment: Positive
Text: new iphone completely updated sun shining derry tis pretty day | Sentiment: Negative
Text: want doctor | Sentiment: Negative
Text: tomfelton cash attic ok prefer homes hammer haha love school | Sentiment: Negative
Text: ill ride dawgs day end day already know streets take amp hap https co | Sentiment: Negative
Text: want | Sentiment: Negative
Text: foxwhisperer well compared areas west us take degrees run | Sentiment: Negative
Text: inspireinspire aw jealous please take | Sentiment: Negative
Text: blaine mn dont want anymore | Sentiment: Positive
Text: scared death tired living | Sentiment: Negative
Text: tmotsenbocker theacademic judahandthelion take back fun https co | Sentiment: Negative
Text: ive enough life pain causes | Sentiment: Negative
Text: omg cringe cant | Sentiment: Negative
Text: lilyroseallen love shh tattoo hurt think gon na get | Sentiment: Negative
Text: rt caringcorbyn literally cant explain everything much happened dont wan na anymore wtf even point literally | Sentiment: Positive
Text: want | Sentiment: Negative
Text: juice box morning never know joy juice box bring one later life | Sentiment: Negative
Text: want go women | Sentiment: Negative
Text: adalinemusic welcome great way introduced music | Sentiment: Negative
Text: awesome wait see | Sentiment: Negative
Text: heart crushed | Sentiment: Negative
Text: ooo apple store close credit card ready | Sentiment: Negative
Text: changed fucking worse cant believe could really go back ur hard work like | Sentiment: Positive
Text: house never black woman leadership | Sentiment: Negative
Text: summerwalker hey golden wanted say hi great morning | Sentiment: Negative
Text: goooooood morning twitter world | Sentiment: Negative
Text: emilylagrange revolution household detergent introducing kidscleaning get one stocks last | Sentiment: Negative
Text: everything ever dreamed | Sentiment: Negative
Text: taylorchoi congrats ill def go support tc media takeover | Sentiment: Negative
Text: going bed goodnightttttt | Sentiment: Negative
Text: going school enjoying last day year old | Sentiment: Negative
Text: pviktor hmmm good carrot juice marmalade toast may help | Sentiment: Negative
Text: im tired sick everything wan na die https co | Sentiment: Negative
Text: rt marvelstudios one impact career everything marvel studios stan lee stan leaves extr | Sentiment: Negative
Text: months ago grandmother passed away months ago got heart completely broken months ago almost attem https co | Sentiment: Negative
Text: groyper really tired everything lame gay nothing serious us ever going happen https co | Sentiment: Negative
Text: trying figure works | Sentiment: Negative
Text: life miserable | Sentiment: Negative
Text: positive mental attitude today bad yesterday | Sentiment: Negative
Text: good morning | Sentiment: Negative
Text: yay found amy girl lil bonita im excited go little girly things babes | Sentiment: Negative
Text: constantly amazed technology makes wonder check rad song quot tripping quot http twt fm | Sentiment: Negative
Text: damn fucking hate | Sentiment: Negative
Text: snuggling bed little baby ahhhh | Sentiment: Negative
Text: mhm ohh early amp feel like whatching open arms gary go | Sentiment: Negative
Text: goobimama eventbox best twitter client simplicity makes love | Sentiment: Negative
Text: semblance er ahhhh yeah updates boring quot unfollowed quot win take holiday | Sentiment: Negative
Text: lizzielib could mine grew back fell | Sentiment: Negative
Text: rt millwallfc zampathelion fun day https co | Sentiment: Negative
Text: vascopatricio vou ler atd foi uma maratona let say glad lol | Sentiment: Negative
Text: laughter indeed best medicine whatever ur situation today find reason smile wholeheartedly god good faithful amp loves lt | Sentiment: Negative
Text: bradesposito want people like dead want help canada israel germany wo https co | Sentiment: Negative
Text: enjoyed dubz gig last night finished early always bonus | Sentiment: Negative
Text: think tonight dont care nothing left dont care something great promising stripped past bone splinters pissed splinters dont want happiness dont want dreams dont care post note everyone desperately try stop know care die dead numb longer scared hurt much got ta go nothing left lot love give gone wanted someone hear end | Sentiment: Positive
Text: rt never get attach cause people wake different feelings everyday | Sentiment: Negative
Text: ever feel empty pick number depending feel could write funeral speech point afew years would forgotten anyway | Sentiment: Negative
Text: cellobella size | Sentiment: Negative
Text: snowed okay enough build frosty snowed long cold might well snow enjoy day | Sentiment: Negative
Text: yall im sad cause keep seeing tweets invisible fact suicide note like already https co | Sentiment: Negative
Text: rt hate feeling way | Sentiment: Negative
Text: glad see spring making comeback denver today | Sentiment: Negative
Text: avalanchelynn hello mrng wuzup hows twitterville sleeping evrythings cool | Sentiment: Negative
Text: richard bell nah think going sideways best really helps dodging bullets | Sentiment: Negative
Text: done today like want fucking kill | Sentiment: Positive
Text: familychoice questions feel free email us sales jshop co uk send dm twitter | Sentiment: Negative
Text: nearly three years still feel kylo ben solo deserve redemption man killed ow https co | Sentiment: Negative
Text: right slytherin hufflepuff ravenclaw sadly cut sprin https co | Sentiment: Negative
Text: ba ko kinakaawaan sarili ko iniisip na yung iba naiisip din ako damn hate | Sentiment: Negative
Text: hillkath hey sent dm | Sentiment: Negative
Text: silversun make milk look really good pictures | Sentiment: Negative
Text: http twitpic com totally love pic singing finnish | Sentiment: Negative
Text: jonathanrknight | Sentiment: Negative
Text: catherinemarche ooh lovely | Sentiment: Negative
Text: geuphers fully bloom hardships love | Sentiment: Negative
Text: aw sorry try let get much obviously deserve first https co | Sentiment: Negative
Text: showcase quick vip romm thursday | Sentiment: Negative
Text: matthewturnbull tony price fab | Sentiment: Negative
Text: hey mariedees welcome twitter feed mornin ya | Sentiment: Negative
Text: tradinggoddess wow experience need see repeated glad ok | Sentiment: Negative
Text: embedding google calendar site actually seriously easy | Sentiment: Negative
Text: die little inside see old person eating alone restaurant | Sentiment: Negative
Text: hate repeating dawg like damn | Sentiment: Negative
Text: running option physically hurts breathe dream goal ambition motivation tried hospital er psyche ward therapist difference medications girlfriend person really loved wasnt family wants go drugs drink whatever fuck leaving nothing cant least talk feel hurts hurts much much pain dont know born suffer like god real wants dead | Sentiment: Positive
Text: words | Sentiment: Negative
Text: therealskp barcelona spain rt even though dont want know believe anymore know st | Sentiment: Positive
Text: theshortestfuse cool good hear thanks sharing | Sentiment: Negative
Text: debuted week billboard social | Sentiment: Negative
Text: let hate god fucking damn | Sentiment: Negative
Text: ddsboston bostongrlkayte going sunny celcius friday sunny saturday sweet | Sentiment: Negative
Text: ianaspin second ian thank | Sentiment: Negative
Text: reality social media care mans mental health want speak dead lets real | Sentiment: Negative
Text: everything gold | Sentiment: Negative
Text: became hot persistent days resting heavily tired flowers | Sentiment: Negative
Text: lessismoh lavendricks used one keeping live wild animal cage surrounded screaming drunk https co swocdlrqwc | Sentiment: Negative
Text: im tired everything die | Sentiment: Negative
Text: still listening great music got yesterday amber pacific awesome | Sentiment: Negative
Text: going day care get see hannah good day hope anyway | Sentiment: Negative
Text: vindiekins almost feel bad next post almost | Sentiment: Negative
Text: ladyparadis thanks certainly better midday yesterday one point walking around like kryten red dwarf | Sentiment: Negative
Text: cyberpreneur welcome quot twittersphere quot like name fun get super addicting | Sentiment: Negative
Text: lindseylobo know love | Sentiment: Negative
Text: every day brings closer death years old working student want kill life unbearable skills talents absolutely boring person spend free time alone really want find girlfriend see way could find one useless like used go away sadness listening music days bored music want go sleep never wake | Sentiment: Positive
Text: drrnlvngstn clouds come fear may late enjoy weather | Sentiment: Negative
Text: chipcoffey great hear thanks chip | Sentiment: Negative
Text: rt mileycyrus completely devestated fires affecting community one lucky ones animals love life made | Sentiment: Negative
Text: ah pop good | Sentiment: Negative
Text: rccgd leaving laptop home put tweetie get dms gmail new friends always send email addy | Sentiment: Negative
Text: thank god bre slept took ava daycare | Sentiment: Negative
Text: dont know keep trying home life always incredibly toxic parents always major contributor depression anxiety feel like worthless individual dont job anything motivation even leave house let alone bed life shit like continued happen sometimes look pills take consider shoving handful mouth ending time lie bed wish could die without actually kill coward tired hearing things gon na get better | Sentiment: Positive
Text: amazing night great day love heels | Sentiment: Negative
Text: tired living life fear liked fuck really livin people | Sentiment: Negative
Text: jami probably drunk driver coming onto coming traffic | Sentiment: Negative
Text: rt gracee chang knowing damn well hate taking anyways https co frhjvbgkuw | Sentiment: Negative
Text: fucking meds bc family thought best since got sick tired sl https co | Sentiment: Negative
Text: rt princessjmee never war get terrible nightmares wake fighting life thisisus ptsd | Sentiment: Negative
Text: twitter oh twitter yea poor little birdie comes fail whale | Sentiment: Negative
Text: im gon na fucking die im tired investing everything person throw made https co | Sentiment: Negative
Text: yo sometimes tired living | Sentiment: Negative
Text: rt jimmieathletics congratulations jimmiefootball ol anthony vereen named gpac football first team offense gojimmies | Sentiment: Negative
Text: aspiring happy blacyoungstafb every aspect life | Sentiment: Negative
Text: rt zachstafford used check forbes list every year see could find husband | Sentiment: Negative
Text: sh tbritttsays que screamo voice cut wrist black eyes | Sentiment: Negative
Text: gukdaydream need work project people count fucking nothing think https co | Sentiment: Negative
Text: hear daveoshry together could start sort terrible business pays nothing sucks wi https co | Sentiment: Negative
Text: rt find someone makes happy enjoy life fair give many opportunities https co | Sentiment: Negative
Text: phatelara debbs pw mse congrats | Sentiment: Negative
Text: thekingscosmos sister ruined night even started dont even want anymore | Sentiment: Positive
Text: rt raptors quit keep grinding still fucking suck life something still fucking suck never gon na get fa | Sentiment: Positive
Text: cant take anymore might well end sorry life | Sentiment: Positive
Text: wan na kill like literally mentally emotionally | Sentiment: Negative
Text: dogcafes co dont want anymore done ruined good thing https co | Sentiment: Negative
Text: trying spaz twitter posts love destroytwitter easier read spaz | Sentiment: Negative
Text: want think anything immoral | Sentiment: Negative
Text: tweet tweet tweet tweet goodniiiight | Sentiment: Negative
Text: homerunderbyemo checked homerun derby ep slaps https co | Sentiment: Negative
Text: everything | Sentiment: Negative
Text: laurenfisher obey last fm algorithm maybe would turn really like scooter gave chance | Sentiment: Negative
Text: haha wish tired living wan na go south | Sentiment: Negative
Text: abipips true nothing induces madness like trying figure ppl hope today yr little one wonderful | Sentiment: Negative
Text: ha internet explorer nice mozilla firefox mean | Sentiment: Negative
Text: tired kickin bitches house bout ready go sleep wake ting forever | Sentiment: Negative
Text: rt ghoulrunnings ive said ill say waluigi sucks sounds looks funny thats theres nothing else | Sentiment: Negative
Text: rt mohammadirashid year devastating earthquake city young mother says amp family still shelter | Sentiment: Negative
Text: sexysubkaylee heh heh dirty always good gurl like think | Sentiment: Negative
Text: gettin internet gon na finish hair | Sentiment: Negative
Text: failing feel wish suicide funded government wish guns suicide would like condoms given teens going right wish euthansia legal wish wouldnt fear buying poison gun black market get caught life would get worse | Sentiment: Positive
Text: morning slacked two days twittering finished good run ready start new day | Sentiment: Negative
Text: looking someone talk want die | Sentiment: Positive
Text: hate player hate game jess glynne probably awesome person kill someon https co kikyggqyus | Sentiment: Negative
Text: loving read vr love | Sentiment: Negative
Text: watched chuck going mel soon | Sentiment: Negative
Text: brigham oh thank glad shutting stuff across street anymore little slower unpacking tho | Sentiment: Negative
Text: suesshirtshop sue | Sentiment: Negative
Text: shy tide england yeah dont want anymore hurts much im struggling much | Sentiment: Positive
Text: bookthingo want read james children men though interesting premise yay futuristics | Sentiment: Negative
Text: worried might lose tomorrow cant really tell anyone fear worrying one year eleven months clean sober tomorrow going methadone maintenance program two weeks going walk home court pack things clean apartment say goodbyes much really hoping doesnt come hope fucking much dont want kill dont want anyone strong enough start chest feels like going explode anxiety feel like going break crying front judge tomorrow practically pleading life | Sentiment: Positive
Text: realizing get surprise certified letter stating sole heir wealthy family inh https co | Sentiment: Negative
Text: lfta blur song | Sentiment: Negative
Text: chels morning | Sentiment: Negative
Text: tired waking tired wanting die tired everything | Sentiment: Negative
Text: sees car crash wonder crashed | Sentiment: Negative
Text: want sleep much gone wrong years still getting worse change going around invariably affect dont want give chance go sleep dont wake wont deal | Sentiment: Positive
Text: seerysm always cheerful sunny atl means get heck away time | Sentiment: Negative
Text: booked leawoodward baby scan tomorrow exciting wait see little girl | Sentiment: Negative
Text: liter spent much money tonight literally one worst nights looo time literally straigh https co | Sentiment: Negative
Text: rt quueenn girl wan na look good pregnant lol congratulations beautiful hope girl like | Sentiment: Negative
Text: tonywade iantalbot size wear orthotics footwear attempting walk get away | Sentiment: Negative
Text: heart wants die struggling depression trauma suicidal thoughts years honestly things havent painful sitting alone alienated confused depressed miserable helpless alone honestly point hate life | Sentiment: Positive
Text: strekr miami valley already frozen winter | Sentiment: Negative
Text: wyattearpla actually tired like living home troubled deceitful child always wi https co qsfqopfqjp | Sentiment: Negative
Text: rt floweryhillside want come account literally thing keeping miserable existence | Sentiment: Negative
Text: dodgerblueopj good florida mts graduates late april really happy | Sentiment: Negative
Text: ddlovato school since yesterday good morning demi lovato im fan canada | Sentiment: Negative
Text: approved cute townhome much closer work excited | Sentiment: Negative
Text: rt sick tired listening justintrudeau saying first foremost work | Sentiment: Negative
Text: correct one absolutely want live country fucking chuds believe https co | Sentiment: Negative
Text: wish still simpsons shower radio | Sentiment: Negative
Text: love everyone else hate | Sentiment: Negative
Text: tired living like | Sentiment: Negative
Text: dude jealous goin buy thurs | Sentiment: Negative
Text: joemcintyre welcome tweet lt lets get | Sentiment: Negative
Text: callmesynapse maddierawrk works truly believe feel sorry https co | Sentiment: Negative
Text: spanx happy birthday eat something good | Sentiment: Negative
Text: seamushayes get worse come winter chai goldfish bowl best | Sentiment: Negative
Text: rt jenanmoussa love see palestinians dancing fun good amp positive stories deserve go viral well | Sentiment: Negative
Text: https co https co | Sentiment: Negative
Text: ever feel like everyone better without fucking https co | Sentiment: Negative
Text: markdan nope ahm preps props | Sentiment: Negative
Text: tairrieb recorded | Sentiment: Negative
Text: glinner twittering task rtm | Sentiment: Negative
Text: gt katyperry june portugal know go another catching song | Sentiment: Negative
Text: want painter | Sentiment: Negative
Text: cowley road released itunes get | Sentiment: Negative
Text: give sleeping im even trying anymore hate damn | Sentiment: Negative
Text: fortitia cooking looking forward taste later | Sentiment: Negative
Text: words still write lame burritos tea | Sentiment: Negative
Text: phone againn | Sentiment: Negative
Text: rt mitchlafon day november queen release single somebody love | Sentiment: Negative
Text: fucking cold hate working tf sign damn | Sentiment: Negative
Text: lozzablack time always listen wise friend kate coolest | Sentiment: Negative
Text: rt want die know nothing certain tired keeping quiet playerstribune carbombbo | Sentiment: Positive
Text: one month today plane headin ny | Sentiment: Negative
Text: rt jaemverse dont want anymore | Sentiment: Positive
Text: www youtube com watch videos comment amp suscribe amp follow cheers | Sentiment: Negative
Text: iowa happy yea | Sentiment: Negative
Text: damn really hate rn | Sentiment: Negative
Text: tdmphotography oh sorry would replied earlier flickin thru wonderful new book ideas | Sentiment: Negative
Text: rt wan na let known homies ever life feel like alone tired living tex | Sentiment: Positive
Text: sarahstanley hey well looking forward meeting cultvines dc | Sentiment: Negative
Text: qwerxcvjkl im done trying happy never helped never got approved parents meaning stop makes happy honestly dont want try anymore im going sit fail keep failing one day death finally falls upon | Sentiment: Positive
Text: duanejackson tr im nambu bit ly tweetdeck | Sentiment: Negative
Text: single mommy never part plan wake everyday shit | Sentiment: Negative
Text: awake two hours would like go back sleep | Sentiment: Negative
Text: tomfelton amazing saw broadway original cast | Sentiment: Negative
Text: peerug puffing dragon ey | Sentiment: Negative
Text: schulman yes obviously one national aviary answers phone | Sentiment: Negative
Text: rt bksportstalk glass half full glass half empty mizzou team legitimately pretty good go sports reference simple | Sentiment: Negative
Text: time turn go sleep think big day goodnight | Sentiment: Negative
Text: katpaps well must say comments even got thinking hair looks rather sexy doubt much chance resist | Sentiment: Negative
Text: rt barcatimes bartomeu today celebrates two honours legendary career pichichi goalscorer award di st | Sentiment: Negative
Text: iwrotethis nope caught cheers sure hope sunshine holds | Sentiment: Negative
Text: shmerkle went csi episode dollhouse needed redownloading done watch rest | Sentiment: Negative
Text: lovely cuddle tali virgo | Sentiment: Negative
Text: home gym going sit butt day | Sentiment: Negative
Text: going four mile night run around old bomber andersen got ta tape ankles | Sentiment: Negative
Text: everything temporary evil eyes shivrit | Sentiment: Negative
Text: petesanderson little fancy good told | Sentiment: Negative
Text: sickness back work | Sentiment: Negative
Text: woke feeling great | Sentiment: Negative
Text: tired everything | Sentiment: Negative
Text: mousehunt hi | Sentiment: Negative
Text: cherryspoon get upset worth besides enough people accounts popular | Sentiment: Negative
Text: got picture boyfriend thats | Sentiment: Negative
Text: lady twitster ah since old days orange face still around | Sentiment: Negative
Text: lol supp aint fucked | Sentiment: Negative
Text: rt coreybbrooks living hood really tough tired losing people violence give https co zjy | Sentiment: Negative
Text: want kill really want fucking kill im done | Sentiment: Positive
Text: oh somebody kill please | Sentiment: Negative
Text: picknicole yes indeed copious amounts whipped cream | Sentiment: Negative
Text: empty focusing school work every day feel worse worse last night got blackout drunk didnt help made feel even worse know loneliness comes mostly conscious decisions cant live people cant live without reason havent killed yet fear pain | Sentiment: Positive
Text: raiha glad hear making switch disappointed | Sentiment: Negative
Text: wan na fucking kill | Sentiment: Negative
Text: please retweet weed board coolest adult cartoon tired living worst times life plea https co | Sentiment: Negative
Text: bakery buy yummy stuff | Sentiment: Negative
Text: cleaning start anew | Sentiment: Negative
Text: rewards credited huobi account working days | Sentiment: Negative
Text: marthastewart proof | Sentiment: Negative
Text: brisbanegirl hen style may may involve making promises people need deliver concerns | Sentiment: Negative
Text: crunk keep good work | Sentiment: Negative
Text: sashamcfly niiiceee | Sentiment: Negative
Text: today almost kill almost hit car thank lord | Sentiment: Negative
Text: tvmohandaspai pmoindia narendramodi sir please tell suit respected pm tell give days things improve burn alive yes anyone say come shall burn see anyone dis associating line | Sentiment: Negative
Text: extremely tired everything want die | Sentiment: Positive
Text: rt conteia fucking lunatic get angry terrible need work bad end something fu | Sentiment: Negative
Text: thefutureheads congratulations dave enjoy little un xxx | Sentiment: Negative
Text: ddlovato good morning | Sentiment: Negative
Text: tommcfly yummy starbucks | Sentiment: Negative
Text: death scares tf ready die | Sentiment: Negative
Text: hate bc everything damn music video | Sentiment: Negative
Text: tommcfly went starbucks earlier | Sentiment: Negative
Text: gene acting bit odd lately told leper wanting jump tree join supe https co | Sentiment: Negative
Text: drinking crying night away usual find ex fucking girl bed tried kill https co | Sentiment: Negative
Text: beatlestweets wow awesome pics | Sentiment: Negative
Text: death cant much worse male girlfriend left staying late office long cant cope workload friends non existent hate family hate want die dont see option point | Sentiment: Positive
Text: rt treydiamonds hate fact damn near forced figure everything must done | Sentiment: Negative
Text: good morning good morning good moooooorning | Sentiment: Negative
Text: chrisdjmoyles im gon na watch wot hav say bout twitter yor show brilliant ever mornin katie | Sentiment: Negative
Text: latest tune http soundcloud com jay jay untitled leave comment please | Sentiment: Negative
Text: fitnessbox watch space sure viable yet possibly though | Sentiment: Negative
Text: jake rt yxrx desperately whole heartedly dont want anymore | Sentiment: Positive
Text: ninaneverknew want overnight drinking session friends mean em haha | Sentiment: Negative
Text: blunt honest girl wants take care family passionate boy perusing dreams https co | Sentiment: Negative
Text: kill yet guess something proud gun roommate found planning finding lonely bridge end really want reason live find one | Sentiment: Positive
Text: sotodance photoboth black amp white wayyy old call herbert lol love like living legend got ta love berlin lt | Sentiment: Negative
Text: pixiepan lol www tv com friend | Sentiment: Negative
Text: wont miserable least weeks tho | Sentiment: Negative
Text: tom chaplin marry please melt hahaha pearshapebodygirl stopped talking yes | Sentiment: Negative
Text: attempting make hot cross buns bella amp ari | Sentiment: Negative
