Text: make lunch | Sentiment: Positive
Text: peoplemapsjulie look berocca well | Sentiment: Positive
Text: nellypt thank think pas around great day luv ur stuff | Sentiment: Positive
Text: wan na die deserve piece anything belong anywhere sick tire everything sa http co | Sentiment: Negative
Text: fuck hate whole family make feel fat do feeling bad body https co exwykcgcrf | Sentiment: Negative
Text: meerajane luv blog fashion lt | Sentiment: Positive
Text: maddierawrk sorry loss post give goosebump although thought suicide http co | Sentiment: Negative
Text: markuslarockus ha ha start something rocquestar thing | Sentiment: Positive
Text: photoboth black white wayyyyy old call herbert lol love like live legend get ta love berlin lt | Sentiment: Positive
Text: erikabele one look | Sentiment: Positive
Text: want kill | Sentiment: Positive
Text: understand fuck im wrong life | Sentiment: Negative
Text: rachelstarrxxx awwwwww really wish could give ya serious tlc rachel hun send ya huge hugz kiss | Sentiment: Positive
Text: look help test prawn pdfs cucumber find prawn cucumber salad recipe http tinyurl com | Sentiment: Negative
Text: joannabutler tell sister fix | Sentiment: Positive
Text: something weird stop thinking sleep old paper card di http co | Sentiment: Negative
Text: congratulation john creepy actor sweet actor | Sentiment: Positive
Text: fancyelastic thanks | Sentiment: Positive
Text: photoshop | Sentiment: Positive
Text: mizfitonline normal workday still plan aspiration submit info miz mag honest | Sentiment: Positive
Text: easy way go mbk get hack chuanjeng get cn rom th phone | Sentiment: Positive
Text: dont want fuck anymore please someone fuck end know itll worse everyone fuck want please please someone kill please | Sentiment: Negative
Text: tire | Sentiment: Positive
Text: cullen family jewellery set arrive morning happy | Sentiment: Positive
Text: get ready take kid farm | Sentiment: Positive
Text: wolfiecomedy boy might find shocking internet stranger like would say fuck guy https co | Sentiment: Negative
Text: stacyonbob ate candy cigarettes eat wax drink coke however eat candy lip | Sentiment: Positive
Text: damn near hate smoking sometimes like cause finish blunts later | Sentiment: Positive
Text: go get cereallllllll living lucky charm next week woopwoop | Sentiment: Positive
Text: quot tag punk punk rock pop punk new york people listen band quot http www last fm music get bent | Sentiment: Negative
Text: dianapmarez great time life help design amaze wedding | Sentiment: Positive
Text: vegale wow wow good hear | Sentiment: Positive
Text: feel overwhelm want die try kill today want boyfriend help somehow since see depression spiral say get well know currently feel trap home friend constantly feel weak unmotivated desire sex partner tend find worst lately love thing amplifies depression dont want die get hurt lonely overwhelmed one thought cant shake kill | Sentiment: Negative
Text: ask everyone send happy head first vibes cosmicgirlie | Sentiment: Positive
Text: kanter wait sunrise spring amazing color | Sentiment: Positive
Text: lady twitster good far thanks hope treat well | Sentiment: Positive
Text: oliviacosmetics ok might though | Sentiment: Positive
Text: complete sell goal happy | Sentiment: Positive
Text: emisonnaomily still highkey want dead kill peach beck ugh candice back imma http co | Sentiment: Negative
Text: mikeyway http twitpic com take care guy | Sentiment: Negative
Text: whole family damn beautiful start ugly generation hate much even express | Sentiment: Positive
Text: co worker guinea pig lucky test recipe ultimate cookie cook book | Sentiment: Negative
Text: damn hate evopvpserver | Sentiment: Positive
Text: want get indict amp watch kid go jail want die trump http co bpmdxzujoo | Sentiment: Negative
Text: ok legit question fuck kill do life | Sentiment: Negative
Text: willcarling ski jumping go beat missus yet | Sentiment: Positive
Text: lakezuriche hope fucken change cause damn hate | Sentiment: Positive
Text: really good helpful various crisis dc universe read http com | Sentiment: Negative
Text: ericboehlert nothing live nasty | Sentiment: Positive
Text: lovely night best boyfriend two good friend | Sentiment: Positive
Text: girlfriend leave hate college direction life want go sleep never wake ive thinking suicide lot recently different method reason havent do far much pussy access enough drug overdose live near plenty tall building see therapist psychiatrist pill give exacerbate symptom dont care leave everything behind dont want hurt people around go live shit life others arent inconvenienced one day drunk enough finally pull trigger figuratively literally | Sentiment: Negative
Text: kateedwards dont bring anything yr place katesparty | Sentiment: Positive
Text: rosie think gon na single forever | Sentiment: Positive
Text: codyks chick fil bonus | Sentiment: Positive
Text: yeah around glad like interview steve cotter quigong sucha valuable part training | Sentiment: Positive
Text: theosoft want know modx cm maybe help | Sentiment: Negative
Text: home school yay bad actually nice dinner graceeeeee | Sentiment: Positive
Text: im hop stress level go aunt go cant relax exhaust focus dam http co | Sentiment: Negative
Text: ghostbusterz friend know online last night finally add messenger | Sentiment: Positive
Text: jst sneeze twice think least one ghost house | Sentiment: Positive
Text: wanicullen thanks wani | Sentiment: Positive
Text: vanessawhite haha get stress | Sentiment: Positive
Text: nanu add little grist mill | Sentiment: Positive
Text: niki dyer marcorubio want every vote count matter voter dead move different precinct ou http co | Sentiment: Negative
Text: yogadork barefoot range great alternative need wear shoe allow foot move though barefoot | Sentiment: Positive
Text: perk ugly deserve award something least gon na die alone | Sentiment: Positive
Text: rt camphalfblood random commenter ask extreme social warrior agenda magnus chase call extreme social jus | Sentiment: Positive
Text: tuesday work still rid high workout last night good day | Sentiment: Positive
Text: sad protect cat know whats ever bother know stuff http co | Sentiment: Negative
Text: never war get terrible nightmare wake fight life thisisus ptsd | Sentiment: Positive
Text: cool http www onlinemarktplatz de twitter fieber bei ebay | Sentiment: Negative
Text: ok dinner rock | Sentiment: Positive
Text: stick every time try kill cant go cant keep live feel way cant let die | Sentiment: Negative
Text: damn hate type fast autocorrect change go unnoticed smh | Sentiment: Positive
Text: rt sirpatricia shes best https co | Sentiment: Negative
Text: bobby bobble snovvvhite live best life | Sentiment: Positive
Text: want truth | Sentiment: Positive
Text: fussy age long female change rule lol | Sentiment: Positive
Text: gon na go ahead kill already do fucking day | Sentiment: Positive
Text: wait mum fuck die wait die go lie train day foolow suiti wait would kill able kill sooner two intimate relationship short kill gun forbiden country get knife brick cant bloody slow method anything tonsils stink hate human stench form except dashas shit hate body hate artery nose lip saliva eye hate human body except dashas one want fuck dasha | Sentiment: Negative
Text: taniauncensored tania think get athene rest crew twitter | Sentiment: Positive
Text: jackhii get yr pic pose server room | Sentiment: Positive
Text: bye bye go sleep finally xdddd | Sentiment: Positive
Text: work film busy nice day everyone | Sentiment: Positive
Text: want die go commit suicide give injection unconconscious end nightmare life want die | Sentiment: Negative
Text: want play | Sentiment: Positive
Text: thanks everyone send work year please know plant tree india profit | Sentiment: Positive
Text: notice give life become alcoholic bc miserable want die farewell ill drunk | Sentiment: Negative
Text: new iphone completely updated sun shin derry ti pretty day | Sentiment: Positive
Text: want doctor | Sentiment: Positive
Text: tomfelton cash attic ok prefer home hammer haha love school | Sentiment: Positive
Text: ill ride dawgs day end day already know street take amp hap http co | Sentiment: Negative
Text: want | Sentiment: Positive
Text: foxwhisperer well compare area west u take degree run | Sentiment: Positive
Text: inspireinspire aw jealous please take | Sentiment: Positive
Text: blaine mn dont want anymore | Sentiment: Negative
Text: scar death tire living | Sentiment: Positive
Text: tmotsenbocker theacademic judahandthelion take back fun http co | Sentiment: Negative
Text: ive enough life pain cause | Sentiment: Positive
Text: omg cringe cant | Sentiment: Positive
Text: lilyroseallen love shh tattoo hurt think gon na get | Sentiment: Positive
Text: rt caringcorbyn literally cant explain everything much happen dont wan na anymore wtf even point literally | Sentiment: Negative
Text: want | Sentiment: Positive
Text: juice box morning never know joy juice box bring one later life | Sentiment: Positive
Text: want go woman | Sentiment: Negative
Text: adalinemusic welcome great way introduce music | Sentiment: Positive
Text: awesome wait see | Sentiment: Positive
Text: heart crush | Sentiment: Positive
Text: ooo apple store close credit card ready | Sentiment: Positive
Text: change fuck worse cant believe could really go back ur hard work like | Sentiment: Negative
Text: house never black woman leadership | Sentiment: Positive
Text: summerwalker hey golden want say hi great morning | Sentiment: Negative
Text: goooooood morning twitter world | Sentiment: Positive
Text: emilylagrange revolution household detergent introduce kidscleaning get one stock last | Sentiment: Positive
Text: everything ever dream | Sentiment: Positive
Text: taylorchoi congrats ill def go support tc medium takeover | Sentiment: Positive
Text: go bed goodnightttttt | Sentiment: Positive
Text: go school enjoy last day year old | Sentiment: Positive
Text: pviktor hmmm good carrot juice marmalade toast may help | Sentiment: Positive
Text: im tire sick everything wan na die http co | Sentiment: Negative
Text: rt marvelstudios one impact career everything marvel studio stan lee stan leaf extr | Sentiment: Positive
Text: month ago grandmother pass away month ago get heart completely broken month ago almost attem https co | Sentiment: Negative
Text: groyper really tire everything lame gay nothing serious u ever go happen http co | Sentiment: Negative
Text: try figure work | Sentiment: Positive
Text: life miserable | Sentiment: Positive
Text: positive mental attitude today bad yesterday | Sentiment: Positive
Text: good morning | Sentiment: Positive
Text: yay find amy girl lil bonita im excite go little girly thing babe | Sentiment: Positive
Text: constantly amaze technology make wonder check rad song quot trip quot http twt fm | Sentiment: Negative
Text: damn fuck hate | Sentiment: Negative
Text: snuggle bed little baby ahhhh | Sentiment: Positive
Text: mhm ohh early amp feel like whatching open arm gary go | Sentiment: Positive
Text: goobimama eventbox best twitter client simplicity make love | Sentiment: Positive
Text: semblance er ahhhh yeah update boring quot unfollowed quot win take holiday | Sentiment: Positive
Text: lizzielib could mine grow back fell | Sentiment: Positive
Text: rt millwallfc zampathelion fun day https co | Sentiment: Negative
Text: vascopatricio vou ler atd foi uma maratona let say glad lol | Sentiment: Positive
Text: laughter indeed best medicine whatever ur situation today find reason smile wholeheartedly god good faithful amp love lt | Sentiment: Positive
Text: bradesposito want people like dead want help canada israel germany wo https co | Sentiment: Negative
Text: enjoy dubz gig last night finish early always bonus | Sentiment: Positive
Text: think tonight dont care nothing leave dont care something great promising strip past bone splinter piss splinter dont want happiness dont want dream dont care post note everyone desperately try stop know care die dead numb longer scared hurt much get ta go nothing left lot love give go want someone hear end | Sentiment: Negative
Text: rt never get attach cause people wake different feeling everyday | Sentiment: Positive
Text: ever feel empty pick number depend feel could write funeral speech point afew year would forget anyway | Sentiment: Positive
Text: cellobella size | Sentiment: Positive
Text: snow okay enough build frosty snow long cold might well snow enjoy day | Sentiment: Positive
Text: yall im sad cause keep see tweet invisible fact suicide note like already https co | Sentiment: Negative
Text: rt hate feeling way | Sentiment: Positive
Text: glad see spring make comeback denver today | Sentiment: Positive
Text: avalanchelynn hello mrng wuzup hows twitterville sleep evrythings cool | Sentiment: Positive
Text: richard bell nah think go sideways best really help dodge bullet | Sentiment: Positive
Text: do today like want fuck kill | Sentiment: Negative
Text: familychoice question feel free email u sale jshop co uk send dm twitter | Sentiment: Negative
Text: nearly three year still feel kylo ben solo deserve redemption man kill ow http co | Sentiment: Negative
Text: right slytherin hufflepuff ravenclaw sadly cut sprin http co | Sentiment: Negative
Text: ba ko kinakaawaan sarili ko iniisip na yung iba naiisip din ako damn hate | Sentiment: Positive
Text: hillkath hey send dm | Sentiment: Positive
Text: silversun make milk look really good picture | Sentiment: Positive
Text: http twitpic com totally love pic sing finnish | Sentiment: Negative
Text: jonathanrknight | Sentiment: Positive
Text: catherinemarche ooh lovely | Sentiment: Positive
Text: geuphers fully bloom hardship love | Sentiment: Positive
Text: aw sorry try let get much obviously deserve first http co | Sentiment: Negative
Text: showcase quick vip romm thursday | Sentiment: Positive
Text: matthewturnbull tony price fab | Sentiment: Positive
Text: hey mariedees welcome twitter feed mornin ya | Sentiment: Positive
Text: tradinggoddess wow experience need see repeated glad ok | Sentiment: Positive
Text: embed google calendar site actually seriously easy | Sentiment: Positive
Text: die little inside see old person eat alone restaurant | Sentiment: Positive
Text: hate repeat dawg like damn | Sentiment: Positive
Text: run option physically hurt breathe dream goal ambition motivation try hospital er psyche ward therapist difference medication girlfriend person really love wasnt family want go drug drink whatever fuck leave nothing cant least talk feel hurt hurt much much pain dont know bear suffer like god real want dead | Sentiment: Negative
Text: word | Sentiment: Positive
Text: therealskp barcelona spain rt even though dont want know believe anymore know st | Sentiment: Negative
Text: theshortestfuse cool good hear thanks share | Sentiment: Positive
Text: debut week billboard social | Sentiment: Positive
Text: let hate god fuck damn | Sentiment: Negative
Text: ddsboston bostongrlkayte go sunny celcius friday sunny saturday sweet | Sentiment: Positive
Text: ianaspin second ian thank | Sentiment: Positive
Text: reality social medium care man mental health want speak dead let real | Sentiment: Negative
Text: everything gold | Sentiment: Positive
Text: become hot persistent day rest heavily tire flower | Sentiment: Positive
Text: lessismoh lavendricks use one keep live wild animal cage surround scream drunk http co swocdlrqwc | Sentiment: Negative
Text: im tire everything die | Sentiment: Positive
Text: still listen great music get yesterday amber pacific awesome | Sentiment: Positive
Text: go day care get see hannah good day hope anyway | Sentiment: Negative
Text: vindiekins almost feel bad next post almost | Sentiment: Positive
Text: ladyparadis thanks certainly better midday yesterday one point walk around like kryten red dwarf | Sentiment: Positive
Text: cyberpreneur welcome quot twittersphere quot like name fun get super addicting | Sentiment: Positive
Text: lindseylobo know love | Sentiment: Positive
Text: every day bring closer death year old working student want kill life unbearable skill talent absolutely bore person spend free time alone really want find girlfriend see way could find one useless like use go away sadness listen music day bore music want go sleep never wake | Sentiment: Negative
Text: drrnlvngstn cloud come fear may late enjoy weather | Sentiment: Positive
Text: chipcoffey great hear thanks chip | Sentiment: Positive
Text: rt mileycyrus completely devestated fire affect community one lucky one animal love life make | Sentiment: Positive
Text: ah pop good | Sentiment: Positive
Text: rccgd leave laptop home put tweetie get dms gmail new friend always send email addy | Sentiment: Positive
Text: thank god bre sleep take ava daycare | Sentiment: Positive
Text: dont know keep try home life always incredibly toxic parent always major contributor depression anxiety feel like worthless individual dont job anything motivation even leave house let alone bed life shit like continued happen sometimes look pill take consider shove handful mouth end time lie bed wish could die without actually kill coward tired hearing thing gon na get well | Sentiment: Negative
Text: amaze night great day love heel | Sentiment: Positive
Text: tire living life fear like fuck really livin people | Sentiment: Negative
Text: jami probably drink driver come onto come traffic | Sentiment: Positive
Text: rt gracee chang know damn well hate take anyways https co frhjvbgkuw | Sentiment: Negative
Text: fuck med bc family think best since get sick tire sl http co | Sentiment: Negative
Text: rt princessjmee never war get terrible nightmare wake fight life thisisus ptsd | Sentiment: Positive
Text: twitter oh twitter yea poor little birdie come fail whale | Sentiment: Positive
Text: im gon na fuck die im tire invest everything person throw make http co | Sentiment: Negative
Text: yo sometimes tire living | Sentiment: Positive
Text: rt jimmieathletics congratulation jimmiefootball ol anthony vereen name gpac football first team offense gojimmies | Sentiment: Positive
Text: aspire happy blacyoungstafb every aspect life | Sentiment: Positive
Text: rt zachstafford use check forbes list every year see could find husband | Sentiment: Positive
Text: sh tbritttsays que screamo voice cut wrist black eye | Sentiment: Positive
Text: gukdaydream need work project people count fuck nothing think http co | Sentiment: Negative
Text: hear daveoshry together could start sort terrible business pay nothing suck wi http co | Sentiment: Negative
Text: rt find someone make happy enjoy life fair give many opportunity https co | Sentiment: Negative
Text: phatelara debbs pw mse congrats | Sentiment: Positive
Text: thekingscosmos sister ruin night even start dont even want anymore | Sentiment: Negative
Text: rt raptor quit keep grinding still fuck suck life something still fuck suck never gon na get fa | Sentiment: Negative
Text: cant take anymore might well end sorry life | Sentiment: Negative
Text: wan na kill like literally mentally emotionally | Sentiment: Positive
Text: dogcafes co dont want anymore do ruin good thing http co | Sentiment: Negative
Text: try spaz twitter post love destroytwitter easier read spaz | Sentiment: Positive
Text: want think anything immoral | Sentiment: Positive
Text: tweet tweet tweet tweet goodniiiight | Sentiment: Positive
Text: homerunderbyemo check homerun derby ep slap https co | Sentiment: Negative
Text: everything | Sentiment: Positive
Text: laurenfisher obey last fm algorithm maybe would turn really like scooter give chance | Sentiment: Positive
Text: haha wish tire live wan na go south | Sentiment: Positive
Text: abipips true nothing induces madness like try figure ppl hope today yr little one wonderful | Sentiment: Positive
Text: ha internet explorer nice mozilla firefox mean | Sentiment: Positive
Text: tired kickin bitch house bout ready go sleep wake ting forever | Sentiment: Positive
Text: rt ghoulrunnings ive say ill say waluigi suck sound looks funny thats theres nothing else | Sentiment: Positive
Text: rt mohammadirashid year devastate earthquake city young mother say amp family still shelter | Sentiment: Positive
Text: sexysubkaylee heh heh dirty always good gurl like think | Sentiment: Positive
Text: gettin internet gon na finish hair | Sentiment: Positive
Text: fail feel wish suicide fund government wish gun suicide would like condom give teen go right wish euthansia legal wish wouldnt fear buy poison gun black market get caught life would get worse | Sentiment: Negative
Text: morning slack two day twitter finish good run ready start new day | Sentiment: Negative
Text: look someone talk want die | Sentiment: Negative
Text: hate player hate game jess glynne probably awesome person kill someon http co kikyggqyus | Sentiment: Negative
Text: love read vr love | Sentiment: Positive
Text: watched chuck go mel soon | Sentiment: Positive
Text: brigham oh thank glad shut stuff across street anymore little slower unpacking tho | Sentiment: Positive
Text: suesshirtshop sue | Sentiment: Positive
Text: shy tide england yeah dont want anymore hurt much im struggle much | Sentiment: Negative
Text: bookthingo want read james child men though interesting premise yay futuristics | Sentiment: Negative
Text: worried might lose tomorrow cant really tell anyone fear worry one year eleven month clean sober tomorrow go methadone maintenance program two week go walk home court pack thing clean apartment say goodbye much really hop doesnt come hope fuck much dont want kill dont want anyone strong enough start chest feel like go explode anxiety feel like go break cry front judge tomorrow practically plead life | Sentiment: Negative
Text: realize get surprise certify letter state sole heir wealthy family inh http co | Sentiment: Negative
Text: lfta blur song | Sentiment: Positive
Text: chels morning | Sentiment: Positive
Text: tired waking tire want die tire everything | Sentiment: Positive
Text: see car crash wonder crash | Sentiment: Positive
Text: want sleep much go wrong year still get worse change go around invariably affect dont want give chance go sleep dont wake wont deal | Sentiment: Negative
Text: seerysm always cheerful sunny atl mean get heck away time | Sentiment: Positive
Text: book leawoodward baby scan tomorrow excite wait see little girl | Sentiment: Positive
Text: liter spent much money tonight literally one worst night looo time literally straigh http co | Sentiment: Negative
Text: rt quueenn girl wan na look good pregnant lol congratulation beautiful hope girl like | Sentiment: Positive
Text: tonywade iantalbot size wear orthotics footwear attempt walk get away | Sentiment: Positive
Text: heart want die struggle depression trauma suicidal thought year honestly thing havent painful sit alone alienate confused depress miserable helpless alone honestly point hate life | Sentiment: Negative
Text: strekr miami valley already frozen winter | Sentiment: Positive
Text: wyattearpla actually tire like living home trouble deceitful child always wi https co qsfqopfqjp | Sentiment: Negative
Text: rt floweryhillside want come account literally thing keep miserable existence | Sentiment: Negative
Text: dodgerblueopj good florida mt graduate late april really happy | Sentiment: Positive
Text: ddlovato school since yesterday good morning demi lovato im fan canada | Sentiment: Positive
Text: approve cute townhome much closer work excite | Sentiment: Positive
Text: rt sick tire listen justintrudeau say first foremost work | Sentiment: Positive
Text: correct one absolutely want live country fuck chuds believe http co | Sentiment: Negative
Text: wish still simpsons shower radio | Sentiment: Positive
Text: love everyone else hate | Sentiment: Positive
Text: tired living like | Sentiment: Positive
Text: dude jealous goin buy thurs | Sentiment: Positive
Text: joemcintyre welcome tweet lt let get | Sentiment: Positive
Text: callmesynapse maddierawrk work truly believe feel sorry http co | Sentiment: Negative
Text: spanx happy birthday eat something good | Sentiment: Positive
Text: seamushayes get worse come winter chai goldfish bowl best | Sentiment: Positive
Text: rt jenanmoussa love see palestinian dance fun good amp positive story deserve go viral well | Sentiment: Positive
Text: http co http co | Sentiment: Negative
Text: ever feel like everyone better without fuck http co | Sentiment: Negative
Text: markdan nope ahm prep prop | Sentiment: Positive
Text: tairrieb record | Sentiment: Positive
Text: glinner twitter task rtm | Sentiment: Positive
Text: gt katyperry june portugal know go another catching song | Sentiment: Positive
Text: want painter | Sentiment: Positive
Text: cowley road release itunes get | Sentiment: Positive
Text: give sleeping im even try anymore hate damn | Sentiment: Positive
Text: fortitia cook look forward taste later | Sentiment: Positive
Text: word still write lame burrito tea | Sentiment: Positive
Text: phone againn | Sentiment: Positive
Text: rt mitchlafon day november queen release single somebody love | Sentiment: Positive
Text: fuck cold hate work tf sign damn | Sentiment: Negative
Text: lozzablack time always listen wise friend kate coolest | Sentiment: Positive
Text: rt want die know nothing certain tired keep quiet playerstribune carbombbo | Sentiment: Negative
Text: one month today plane headin ny | Sentiment: Positive
Text: rt jaemverse dont want anymore | Sentiment: Negative
Text: www youtube com watch video comment amp suscribe amp follow cheer | Sentiment: Positive
Text: iowa happy yea | Sentiment: Positive
Text: damn really hate rn | Sentiment: Positive
Text: tdmphotography oh sorry would reply earlier flickin thru wonderful new book idea | Sentiment: Positive
Text: rt wan na let know homies ever life feel like alone tire living tex | Sentiment: Negative
Text: sarahstanley hey well look forward meet cultvines dc | Sentiment: Positive
Text: qwerxcvjkl im do try happy never help never get approved parent mean stop make happy honestly dont want try anymore im go sit fail keep fail one day death finally fall upon | Sentiment: Negative
Text: duanejackson tr im nambu bit ly tweetdeck | Sentiment: Positive
Text: single mommy never part plan wake everyday shit | Sentiment: Positive
Text: awake two hour would like go back sleep | Sentiment: Positive
Text: tomfelton amaze saw broadway original cast | Sentiment: Positive
Text: peerug puff dragon ey | Sentiment: Positive
Text: schulman yes obviously one national aviary answer phone | Sentiment: Positive
Text: rt bksportstalk glass half full glass half empty mizzou team legitimately pretty good go sport reference simple | Sentiment: Positive
Text: time turn go sleep think big day goodnight | Sentiment: Positive
Text: katpaps well must say comment even get think hair look rather sexy doubt much chance resist | Sentiment: Negative
Text: rt barcatimes bartomeu today celebrate two honour legendary career pichichi goalscorer award di st | Sentiment: Positive
Text: iwrotethis nope catch cheer sure hope sunshine hold | Sentiment: Positive
Text: shmerkle go csi episode dollhouse need redownloading do watch rest | Sentiment: Positive
Text: lovely cuddle talus virgo | Sentiment: Positive
Text: home gym go sit butt day | Sentiment: Positive
Text: go four mile night run around old bomber andersen get ta tape ankle | Sentiment: Positive
Text: everything temporary evil eye shivrit | Sentiment: Positive
Text: petesanderson little fancy good told | Sentiment: Positive
Text: sickness back work | Sentiment: Positive
Text: woke feeling great | Sentiment: Positive
Text: tire everything | Sentiment: Positive
Text: mousehunt hi | Sentiment: Positive
Text: cherryspoon get upset worth besides enough people account popular | Sentiment: Positive
Text: get picture boyfriend thats | Sentiment: Positive
Text: lady twitster ah since old day orange face still around | Sentiment: Positive
Text: lol supp aint fuck | Sentiment: Positive
Text: rt coreybbrooks live hood really tough tire lose people violence give http co zjy | Sentiment: Negative
Text: want kill really want fucking kill im do | Sentiment: Negative
Text: oh somebody kill please | Sentiment: Positive
Text: picknicole yes indeed copious amount whip cream | Sentiment: Positive
Text: empty focus school work every day feel worse worse last night get blackout drunk didnt help make feel even worse know loneliness come mostly conscious decision cant live people cant live without reason havent kill yet fear pain | Sentiment: Negative
Text: raiha glad hear make switch disappoint | Sentiment: Positive
Text: wan na fucking kill | Sentiment: Positive
Text: please retweet weed board coolest adult cartoon tire living worst time life plea http co | Sentiment: Negative
Text: bakery buy yummy stuff | Sentiment: Positive
Text: clean start anew | Sentiment: Positive
Text: reward credit huobi account work day | Sentiment: Positive
Text: marthastewart proof | Sentiment: Positive
Text: brisbanegirl hen style may may involve make promise people need deliver concern | Sentiment: Positive
Text: crunk keep good work | Sentiment: Positive
Text: sashamcfly niiiceee | Sentiment: Positive
Text: today almost kill almost hit car thank lord | Sentiment: Positive
Text: tvmohandaspai pmoindia narendramodi sir please tell suit respect pm tell give day thing improve burn alive yes anyone say come shall burn see anyone dis associating line | Sentiment: Positive
Text: extremely tired everything want die | Sentiment: Positive
Text: rt conteia fuck lunatic get angry terrible need work bad end something fu | Sentiment: Negative
Text: thefutureheads congratulation dave enjoy little un xxx | Sentiment: Positive
Text: ddlovato good morning | Sentiment: Positive
Text: tommcfly yummy starbucks | Sentiment: Positive
Text: death scare tf ready die | Sentiment: Positive
Text: hate bc everything damn music video | Sentiment: Positive
Text: tommcfly go starbucks earlier | Sentiment: Positive
Text: gene act bit odd lately tell leper want jump tree join supe http co | Sentiment: Negative
Text: drink cry night away usual find ex fuck girl bed tried kill https co | Sentiment: Negative
Text: beatlestweets wow awesome pic | Sentiment: Positive
Text: death cant much worse male girlfriend leave stay late office long cant cope workload friends non existent hate family hate want die dont see option point | Sentiment: Negative
Text: rt treydiamonds hate fact damn near forced figure everything must do | Sentiment: Positive
Text: good morning good morning good moooooorning | Sentiment: Positive
Text: chrisdjmoyles im gon na watch wot hav say bout twitter yor show brilliant ever mornin katie | Sentiment: Positive
Text: latest tune http soundcloud com jay jay untitled leave comment please | Sentiment: Negative
Text: fitnessbox watch space sure viable yet possibly though | Sentiment: Positive
Text: jake rt yxrx desperately whole heartedly dont want anymore | Sentiment: Negative
Text: ninaneverknew want overnight drinking session friend mean em haha | Sentiment: Negative
Text: blunt honest girl want take care family passionate boy peruse dream https co | Sentiment: Negative
Text: kill yet guess something proud gun roommate find plan find lonely bridge end really want reason live find one | Sentiment: Negative
Text: sotodance photoboth black amp white wayyy old call herbert lol love like live legend get ta love berlin lt | Sentiment: Positive
Text: pixiepan lol www tv com friend | Sentiment: Positive
Text: wont miserable least week tho | Sentiment: Positive
Text: tom chaplin marry please melt hahaha pearshapebodygirl stop talk yes | Sentiment: Positive
Text: attempt make hot cross bun bella amp ari | Sentiment: Positive
Text: summarize happen boc chrismas special chaos still mile phakphum romsaithong calm everything | Sentiment: Positive
Text: eliseland reply someone dougie reply quite people afternoon never know besides fun | Sentiment: Positive
Text: hate much little friend introvert never girlfriend bully lot reject lot please help want kill would make go away dont deserve earth since write note paper worthless stupid want become someone field stupid get anyways job nowadays need social people one ive never girlfriend want one virgin bad thing could never live feeling dont friend girlfriend wheni adult plan commit suicide please help thanks read | Sentiment: Negative
