Text: making lunch | Sentiment: Positive
Text: codyks chick fil bonus | Sentiment: Positive
Text: yeah around glad liked interview steve cotter quigong sucha valuable part training | Sentiment: Positive
Text: theosoft want know modx cms maybe help | Sentiment: Positive
Text: home school yay bad actually nice dinner graceeeeee | Sentiment: Positive
Text: im hoping stress level go aunt gone cant relax exhausted focus dam https co | Sentiment: Negative
Text: ghostbusterz friend knew online last night finally added messenger | Sentiment: Positive
Text: jst sneezed twice thinks least one ghost house | Sentiment: Positive
Text: wanicullen thanks wani | Sentiment: Positive
Text: vanessawhite haha get stress | Sentiment: Positive
Text: nanu added little grist mill | Sentiment: Positive
Text: niki dyer marcorubio want every vote counted matter voter dead move different precinct ou https co | Sentiment: Negative
Text: yogadork barefoot range great alternative need wear shoes allow foot move though barefoot | Sentiment: Positive
Text: perks ugly deserve award something least gon na die alone | Sentiment: Positive
Text: rt camphalfblood random commenter asked extreme social warrior agenda magnus chase calls extreme social jus | Sentiment: Positive
Text: tuesday work still riding high workout last night good day | Sentiment: Positive
Text: sad protect cats know whats ever bothering know stuff https co | Sentiment: Negative
Text: never war get terrible nightmares wake fighting life thisisus ptsd | Sentiment: Positive
Text: cool http www onlinemarktplatz de twitter fieber bei ebay | Sentiment: Positive
Text: ok dinner rocked | Sentiment: Positive
Text: stuck every time try kill cant go cant keep living feeling way cant let die | Sentiment: Positive
Text: damn hate type fast autocorrect changes go unnoticed smh | Sentiment: Positive
Text: rt sirpatricia shes best https co | Sentiment: Negative
Text: bobby bobbles snovvvhite live best life | Sentiment: Positive
Text: want truth | Sentiment: Positive
Text: fussy age long females changed rules lol | Sentiment: Positive
Text: gon na go ahead kill already done fucking day | Sentiment: Positive
Text: wait mum fucking die wait die going lie train day foolow suiti wait would kill able kill sooner two intimate relationship short kill guns forbiden country got knife brick cant bloody slow method anything tonsils stink hate human stench forms except dashas shits hate body hate arteries nose lips saliva eyes hate human body except dashas one want fuck dasha | Sentiment: Negative
Text: taniauncensored tania think get athene rest crew twitter | Sentiment: Positive
Text: jackhii got yr pic posing server room | Sentiment: Positive
Text: bye bye going sleep finally xdddd | Sentiment: Positive
Text: working film busy nice day everyone | Sentiment: Positive
Text: want die go commit suicide give injection unconconscious end nightmare life want die | Sentiment: Positive
Text: want play | Sentiment: Positive
Text: thanks everyone sent work year pleased know planted trees india profits | Sentiment: Positive
Text: notice giving life becoming alcoholic bc miserable want die farewell ill drunk | Sentiment: Positive
Text: new iphone completely updated sun shining derry tis pretty day | Sentiment: Positive
Text: want doctor | Sentiment: Positive
Text: tomfelton cash attic ok prefer homes hammer haha love school | Sentiment: Positive
Text: ill ride dawgs day end day already know streets take amp hap https co | Sentiment: Negative
Text: want | Sentiment: Positive
Text: foxwhisperer well compared areas west us take degrees run | Sentiment: Positive
Text: inspireinspire aw jealous please take | Sentiment: Positive
Text: blaine mn dont want anymore | Sentiment: Positive
Text: scared death tired living | Sentiment: Positive
Text: tmotsenbocker theacademic judahandthelion take back fun https co | Sentiment: Negative
Text: ive enough life pain causes | Sentiment: Positive
Text: omg cringe cant | Sentiment: Positive
Text: lilyroseallen love shh tattoo hurt think gon na get | Sentiment: Positive
Text: rt caringcorbyn literally cant explain everything much happened dont wan na anymore wtf even point literally | Sentiment: Positive
Text: want | Sentiment: Positive
Text: juice box morning never know joy juice box bring one later life | Sentiment: Positive
Text: want go women | Sentiment: Positive
Text: adalinemusic welcome great way introduced music | Sentiment: Positive
Text: awesome wait see | Sentiment: Positive
Text: heart crushed | Sentiment: Positive
Text: ooo apple store close credit card ready | Sentiment: Positive
Text: changed fucking worse cant believe could really go back ur hard work like | Sentiment: Positive
Text: house never black woman leadership | Sentiment: Positive
Text: summerwalker hey golden wanted say hi great morning | Sentiment: Positive
Text: goooooood morning twitter world | Sentiment: Positive
Text: emilylagrange revolution household detergent introducing kidscleaning get one stocks last | Sentiment: Positive
Text: everything ever dreamed | Sentiment: Positive
Text: taylorchoi congrats ill def go support tc media takeover | Sentiment: Positive
Text: going bed goodnightttttt | Sentiment: Positive
Text: going school enjoying last day year old | Sentiment: Positive
Text: pviktor hmmm good carrot juice marmalade toast may help | Sentiment: Positive
Text: im tired sick everything wan na die https co | Sentiment: Negative
Text: rt marvelstudios one impact career everything marvel studios stan lee stan leaves extr | Sentiment: Positive
Text: months ago grandmother passed away months ago got heart completely broken months ago almost attem https co | Sentiment: Negative
Text: groyper really tired everything lame gay nothing serious us ever going happen https co | Sentiment: Negative
Text: trying figure works | Sentiment: Positive
Text: life miserable | Sentiment: Positive
Text: positive mental attitude today bad yesterday | Sentiment: Positive
Text: good morning | Sentiment: Positive
Text: yay found amy girl lil bonita im excited go little girly things babes | Sentiment: Positive
Text: constantly amazed technology makes wonder check rad song quot tripping quot http twt fm | Sentiment: Positive
Text: damn fucking hate | Sentiment: Positive
Text: snuggling bed little baby ahhhh | Sentiment: Positive
Text: mhm ohh early amp feel like whatching open arms gary go | Sentiment: Positive
Text: goobimama eventbox best twitter client simplicity makes love | Sentiment: Positive
Text: semblance er ahhhh yeah updates boring quot unfollowed quot win take holiday | Sentiment: Positive
Text: lizzielib could mine grew back fell | Sentiment: Positive
Text: rt millwallfc zampathelion fun day https co | Sentiment: Negative
Text: vascopatricio vou ler atd foi uma maratona let say glad lol | Sentiment: Positive
Text: laughter indeed best medicine whatever ur situation today find reason smile wholeheartedly god good faithful amp loves lt | Sentiment: Positive
Text: bradesposito want people like dead want help canada israel germany wo https co | Sentiment: Negative
Text: enjoyed dubz gig last night finished early always bonus | Sentiment: Positive
Text: think tonight dont care nothing left dont care something great promising stripped past bone splinters pissed splinters dont want happiness dont want dreams dont care post note everyone desperately try stop know care die dead numb longer scared hurt much got ta go nothing left lot love give gone wanted someone hear end | Sentiment: Negative
Text: rt never get attach cause people wake different feelings everyday | Sentiment: Positive
Text: ever feel empty pick number depending feel could write funeral speech point afew years would forgotten anyway | Sentiment: Positive
Text: cellobella size | Sentiment: Positive
Text: snowed okay enough build frosty snowed long cold might well snow enjoy day | Sentiment: Positive
Text: yall im sad cause keep seeing tweets invisible fact suicide note like already https co | Sentiment: Negative
Text: rt hate feeling way | Sentiment: Positive
Text: glad see spring making comeback denver today | Sentiment: Positive
Text: avalanchelynn hello mrng wuzup hows twitterville sleeping evrythings cool | Sentiment: Positive
Text: richard bell nah think going sideways best really helps dodging bullets | Sentiment: Positive
Text: done today like want fucking kill | Sentiment: Positive
Text: familychoice questions feel free email us sales jshop co uk send dm twitter | Sentiment: Negative
Text: nearly three years still feel kylo ben solo deserve redemption man killed ow https co | Sentiment: Negative
Text: right slytherin hufflepuff ravenclaw sadly cut sprin https co | Sentiment: Negative
Text: ba ko kinakaawaan sarili ko iniisip na yung iba naiisip din ako damn hate | Sentiment: Positive
Text: hillkath hey sent dm | Sentiment: Positive
Text: silversun make milk look really good pictures | Sentiment: Positive
Text: http twitpic com totally love pic singing finnish | Sentiment: Positive
Text: jonathanrknight | Sentiment: Positive
Text: catherinemarche ooh lovely | Sentiment: Positive
Text: geuphers fully bloom hardships love | Sentiment: Positive
Text: aw sorry try let get much obviously deserve first https co | Sentiment: Negative
Text: showcase quick vip romm thursday | Sentiment: Positive
Text: matthewturnbull tony price fab | Sentiment: Positive
Text: hey mariedees welcome twitter feed mornin ya | Sentiment: Positive
Text: tradinggoddess wow experience need see repeated glad ok | Sentiment: Positive
Text: embedding google calendar site actually seriously easy | Sentiment: Positive
Text: die little inside see old person eating alone restaurant | Sentiment: Positive
Text: hate repeating dawg like damn | Sentiment: Positive
Text: running option physically hurts breathe dream goal ambition motivation tried hospital er psyche ward therapist difference medications girlfriend person really loved wasnt family wants go drugs drink whatever fuck leaving nothing cant least talk feel hurts hurts much much pain dont know born suffer like god real wants dead | Sentiment: Negative
Text: words | Sentiment: Positive
Text: therealskp barcelona spain rt even though dont want know believe anymore know st | Sentiment: Positive
Text: theshortestfuse cool good hear thanks sharing | Sentiment: Positive
Text: debuted week billboard social | Sentiment: Positive
Text: let hate god fucking damn | Sentiment: Positive
Text: ddsboston bostongrlkayte going sunny celcius friday sunny saturday sweet | Sentiment: Positive
Text: ianaspin second ian thank | Sentiment: Positive
Text: reality social media care mans mental health want speak dead lets real | Sentiment: Positive
Text: everything gold | Sentiment: Positive
Text: became hot persistent days resting heavily tired flowers | Sentiment: Positive
Text: lessismoh lavendricks used one keeping live wild animal cage surrounded screaming drunk https co swocdlrqwc | Sentiment: Negative
Text: im tired everything die | Sentiment: Positive
Text: still listening great music got yesterday amber pacific awesome | Sentiment: Positive
Text: going day care get see hannah good day hope anyway | Sentiment: Positive
Text: vindiekins almost feel bad next post almost | Sentiment: Positive
Text: ladyparadis thanks certainly better midday yesterday one point walking around like kryten red dwarf | Sentiment: Positive
Text: cyberpreneur welcome quot twittersphere quot like name fun get super addicting | Sentiment: Positive
Text: lindseylobo know love | Sentiment: Positive
Text: every day brings closer death years old working student want kill life unbearable skills talents absolutely boring person spend free time alone really want find girlfriend see way could find one useless like used go away sadness listening music days bored music want go sleep never wake | Sentiment: Negative
Text: drrnlvngstn clouds come fear may late enjoy weather | Sentiment: Positive
Text: chipcoffey great hear thanks chip | Sentiment: Positive
Text: rt mileycyrus completely devestated fires affecting community one lucky ones animals love life made | Sentiment: Positive
Text: ah pop good | Sentiment: Positive
Text: rccgd leaving laptop home put tweetie get dms gmail new friends always send email addy | Sentiment: Positive
Text: thank god bre slept took ava daycare | Sentiment: Positive
Text: dont know keep trying home life always incredibly toxic parents always major contributor depression anxiety feel like worthless individual dont job anything motivation even leave house let alone bed life shit like continued happen sometimes look pills take consider shoving handful mouth ending time lie bed wish could die without actually kill coward tired hearing things gon na get better | Sentiment: Negative
Text: amazing night great day love heels | Sentiment: Positive
Text: tired living life fear liked fuck really livin people | Sentiment: Positive
Text: jami probably drunk driver coming onto coming traffic | Sentiment: Positive
Text: rt gracee chang knowing damn well hate taking anyways https co frhjvbgkuw | Sentiment: Negative
Text: fucking meds bc family thought best since got sick tired sl https co | Sentiment: Negative
Text: rt princessjmee never war get terrible nightmares wake fighting life thisisus ptsd | Sentiment: Positive
Text: twitter oh twitter yea poor little birdie comes fail whale | Sentiment: Positive
Text: im gon na fucking die im tired investing everything person throw made https co | Sentiment: Negative
Text: yo sometimes tired living | Sentiment: Positive
Text: rt jimmieathletics congratulations jimmiefootball ol anthony vereen named gpac football first team offense gojimmies | Sentiment: Positive
Text: aspiring happy blacyoungstafb every aspect life | Sentiment: Positive
Text: rt zachstafford used check forbes list every year see could find husband | Sentiment: Positive
Text: sh tbritttsays que screamo voice cut wrist black eyes | Sentiment: Positive
Text: gukdaydream need work project people count fucking nothing think https co | Sentiment: Negative
Text: hear daveoshry together could start sort terrible business pays nothing sucks wi https co | Sentiment: Negative
Text: rt find someone makes happy enjoy life fair give many opportunities https co | Sentiment: Negative
Text: phatelara debbs pw mse congrats | Sentiment: Positive
Text: thekingscosmos sister ruined night even started dont even want anymore | Sentiment: Positive
Text: rt raptors quit keep grinding still fucking suck life something still fucking suck never gon na get fa | Sentiment: Positive
Text: cant take anymore might well end sorry life | Sentiment: Positive
Text: wan na kill like literally mentally emotionally | Sentiment: Positive
Text: dogcafes co dont want anymore done ruined good thing https co | Sentiment: Negative
Text: trying spaz twitter posts love destroytwitter easier read spaz | Sentiment: Positive
Text: want think anything immoral | Sentiment: Positive
Text: tweet tweet tweet tweet goodniiiight | Sentiment: Positive
Text: homerunderbyemo checked homerun derby ep slaps https co | Sentiment: Negative
Text: everything | Sentiment: Positive
Text: laurenfisher obey last fm algorithm maybe would turn really like scooter gave chance | Sentiment: Positive
Text: haha wish tired living wan na go south | Sentiment: Positive
Text: abipips true nothing induces madness like trying figure ppl hope today yr little one wonderful | Sentiment: Positive
Text: ha internet explorer nice mozilla firefox mean | Sentiment: Positive
Text: tired kickin bitches house bout ready go sleep wake ting forever | Sentiment: Positive
Text: rt ghoulrunnings ive said ill say waluigi sucks sounds looks funny thats theres nothing else | Sentiment: Positive
Text: rt mohammadirashid year devastating earthquake city young mother says amp family still shelter | Sentiment: Positive
Text: sexysubkaylee heh heh dirty always good gurl like think | Sentiment: Positive
Text: gettin internet gon na finish hair | Sentiment: Positive
Text: failing feel wish suicide funded government wish guns suicide would like condoms given teens going right wish euthansia legal wish wouldnt fear buying poison gun black market get caught life would get worse | Sentiment: Positive
Text: morning slacked two days twittering finished good run ready start new day | Sentiment: Positive
Text: looking someone talk want die | Sentiment: Positive
Text: hate player hate game jess glynne probably awesome person kill someon https co kikyggqyus | Sentiment: Negative
Text: loving read vr love | Sentiment: Positive
Text: watched chuck going mel soon | Sentiment: Positive
Text: brigham oh thank glad shutting stuff across street anymore little slower unpacking tho | Sentiment: Positive
Text: suesshirtshop sue | Sentiment: Positive
Text: shy tide england yeah dont want anymore hurts much im struggling much | Sentiment: Positive
Text: bookthingo want read james children men though interesting premise yay futuristics | Sentiment: Positive
Text: worried might lose tomorrow cant really tell anyone fear worrying one year eleven months clean sober tomorrow going methadone maintenance program two weeks going walk home court pack things clean apartment say goodbyes much really hoping doesnt come hope fucking much dont want kill dont want anyone strong enough start chest feels like going explode anxiety feel like going break crying front judge tomorrow practically pleading life | Sentiment: Negative
Text: realizing get surprise certified letter stating sole heir wealthy family inh https co | Sentiment: Negative
Text: lfta blur song | Sentiment: Positive
Text: chels morning | Sentiment: Positive
Text: tired waking tired wanting die tired everything | Sentiment: Positive
Text: sees car crash wonder crashed | Sentiment: Positive
Text: want sleep much gone wrong years still getting worse change going around invariably affect dont want give chance go sleep dont wake wont deal | Sentiment: Negative
Text: seerysm always cheerful sunny atl means get heck away time | Sentiment: Positive
Text: booked leawoodward baby scan tomorrow exciting wait see little girl | Sentiment: Positive
Text: liter spent much money tonight literally one worst nights looo time literally straigh https co | Sentiment: Negative
Text: rt quueenn girl wan na look good pregnant lol congratulations beautiful hope girl like | Sentiment: Positive
Text: tonywade iantalbot size wear orthotics footwear attempting walk get away | Sentiment: Positive
Text: heart wants die struggling depression trauma suicidal thoughts years honestly things havent painful sitting alone alienated confused depressed miserable helpless alone honestly point hate life | Sentiment: Positive
Text: strekr miami valley already frozen winter | Sentiment: Positive
Text: wyattearpla actually tired like living home troubled deceitful child always wi https co qsfqopfqjp | Sentiment: Negative
Text: rt floweryhillside want come account literally thing keeping miserable existence | Sentiment: Positive
Text: dodgerblueopj good florida mts graduates late april really happy | Sentiment: Positive
Text: ddlovato school since yesterday good morning demi lovato im fan canada | Sentiment: Positive
Text: approved cute townhome much closer work excited | Sentiment: Positive
Text: rt sick tired listening justintrudeau saying first foremost work | Sentiment: Positive
Text: correct one absolutely want live country fucking chuds believe https co | Sentiment: Negative
Text: wish still simpsons shower radio | Sentiment: Positive
Text: love everyone else hate | Sentiment: Positive
Text: tired living like | Sentiment: Positive
Text: dude jealous goin buy thurs | Sentiment: Positive
Text: joemcintyre welcome tweet lt lets get | Sentiment: Positive
Text: callmesynapse maddierawrk works truly believe feel sorry https co | Sentiment: Negative
Text: spanx happy birthday eat something good | Sentiment: Positive
Text: seamushayes get worse come winter chai goldfish bowl best | Sentiment: Positive
Text: rt jenanmoussa love see palestinians dancing fun good amp positive stories deserve go viral well | Sentiment: Positive
Text: https co https co | Sentiment: Negative
Text: ever feel like everyone better without fucking https co | Sentiment: Negative
Text: markdan nope ahm preps props | Sentiment: Positive
Text: tairrieb recorded | Sentiment: Positive
Text: glinner twittering task rtm | Sentiment: Positive
Text: gt katyperry june portugal know go another catching song | Sentiment: Positive
Text: want painter | Sentiment: Positive
Text: cowley road released itunes get | Sentiment: Positive
Text: give sleeping im even trying anymore hate damn | Sentiment: Positive
Text: fortitia cooking looking forward taste later | Sentiment: Positive
Text: words still write lame burritos tea | Sentiment: Positive
Text: phone againn | Sentiment: Positive
Text: rt mitchlafon day november queen release single somebody love | Sentiment: Positive
Text: fucking cold hate working tf sign damn | Sentiment: Positive
Text: lozzablack time always listen wise friend kate coolest | Sentiment: Positive
Text: rt want die know nothing certain tired keeping quiet playerstribune carbombbo | Sentiment: Positive
Text: one month today plane headin ny | Sentiment: Positive
Text: rt jaemverse dont want anymore | Sentiment: Positive
Text: www youtube com watch videos comment amp suscribe amp follow cheers | Sentiment: Positive
Text: iowa happy yea | Sentiment: Positive
Text: damn really hate rn | Sentiment: Positive
Text: tdmphotography oh sorry would replied earlier flickin thru wonderful new book ideas | Sentiment: Positive
Text: rt wan na let known homies ever life feel like alone tired living tex | Sentiment: Positive
Text: sarahstanley hey well looking forward meeting cultvines dc | Sentiment: Positive
Text: qwerxcvjkl im done trying happy never helped never got approved parents meaning stop makes happy honestly dont want try anymore im going sit fail keep failing one day death finally falls upon | Sentiment: Negative
Text: duanejackson tr im nambu bit ly tweetdeck | Sentiment: Positive
Text: single mommy never part plan wake everyday shit | Sentiment: Positive
Text: awake two hours would like go back sleep | Sentiment: Positive
Text: tomfelton amazing saw broadway original cast | Sentiment: Positive
Text: peerug puffing dragon ey | Sentiment: Positive
Text: schulman yes obviously one national aviary answers phone | Sentiment: Positive
Text: rt bksportstalk glass half full glass half empty mizzou team legitimately pretty good go sports reference simple | Sentiment: Positive
Text: time turn go sleep think big day goodnight | Sentiment: Positive
Text: katpaps well must say comments even got thinking hair looks rather sexy doubt much chance resist | Sentiment: Positive
Text: rt barcatimes bartomeu today celebrates two honours legendary career pichichi goalscorer award di st | Sentiment: Positive
Text: iwrotethis nope caught cheers sure hope sunshine holds | Sentiment: Positive
Text: shmerkle went csi episode dollhouse needed redownloading done watch rest | Sentiment: Positive
Text: lovely cuddle tali virgo | Sentiment: Positive
Text: home gym going sit butt day | Sentiment: Positive
Text: going four mile night run around old bomber andersen got ta tape ankles | Sentiment: Positive
Text: everything temporary evil eyes shivrit | Sentiment: Positive
Text: petesanderson little fancy good told | Sentiment: Positive
Text: sickness back work | Sentiment: Positive
Text: woke feeling great | Sentiment: Positive
Text: tired everything | Sentiment: Positive
Text: mousehunt hi | Sentiment: Positive
Text: cherryspoon get upset worth besides enough people accounts popular | Sentiment: Positive
Text: got picture boyfriend thats | Sentiment: Positive
Text: lady twitster ah since old days orange face still around | Sentiment: Positive
Text: lol supp aint fucked | Sentiment: Positive
Text: rt coreybbrooks living hood really tough tired losing people violence give https co zjy | Sentiment: Negative
Text: want kill really want fucking kill im done | Sentiment: Positive
Text: oh somebody kill please | Sentiment: Positive
Text: picknicole yes indeed copious amounts whipped cream | Sentiment: Positive
Text: empty focusing school work every day feel worse worse last night got blackout drunk didnt help made feel even worse know loneliness comes mostly conscious decisions cant live people cant live without reason havent killed yet fear pain | Sentiment: Positive
Text: raiha glad hear making switch disappointed | Sentiment: Positive
Text: wan na fucking kill | Sentiment: Positive
Text: please retweet weed board coolest adult cartoon tired living worst times life plea https co | Sentiment: Negative
Text: bakery buy yummy stuff | Sentiment: Positive
Text: cleaning start anew | Sentiment: Positive
Text: rewards credited huobi account working days | Sentiment: Positive
Text: marthastewart proof | Sentiment: Positive
Text: brisbanegirl hen style may may involve making promises people need deliver concerns | Sentiment: Positive
Text: crunk keep good work | Sentiment: Positive
Text: sashamcfly niiiceee | Sentiment: Positive
Text: today almost kill almost hit car thank lord | Sentiment: Positive
Text: tvmohandaspai pmoindia narendramodi sir please tell suit respected pm tell give days things improve burn alive yes anyone say come shall burn see anyone dis associating line | Sentiment: Positive
Text: extremely tired everything want die | Sentiment: Positive
Text: rt conteia fucking lunatic get angry terrible need work bad end something fu | Sentiment: Positive
Text: thefutureheads congratulations dave enjoy little un xxx | Sentiment: Positive
Text: ddlovato good morning | Sentiment: Positive
Text: tommcfly yummy starbucks | Sentiment: Positive
Text: death scares tf ready die | Sentiment: Positive
Text: hate bc everything damn music video | Sentiment: Positive
Text: tommcfly went starbucks earlier | Sentiment: Positive
Text: gene acting bit odd lately told leper wanting jump tree join supe https co | Sentiment: Negative
Text: drinking crying night away usual find ex fucking girl bed tried kill https co | Sentiment: Negative
Text: beatlestweets wow awesome pics | Sentiment: Positive
Text: death cant much worse male girlfriend left staying late office long cant cope workload friends non existent hate family hate want die dont see option point | Sentiment: Negative
Text: rt treydiamonds hate fact damn near forced figure everything must done | Sentiment: Positive
Text: good morning good morning good moooooorning | Sentiment: Positive
Text: chrisdjmoyles im gon na watch wot hav say bout twitter yor show brilliant ever mornin katie | Sentiment: Positive
Text: latest tune http soundcloud com jay jay untitled leave comment please | Sentiment: Positive
Text: fitnessbox watch space sure viable yet possibly though | Sentiment: Positive
Text: jake rt yxrx desperately whole heartedly dont want anymore | Sentiment: Positive
Text: ninaneverknew want overnight drinking session friends mean em haha | Sentiment: Positive
Text: blunt honest girl wants take care family passionate boy perusing dreams https co | Sentiment: Negative
Text: kill yet guess something proud gun roommate found planning finding lonely bridge end really want reason live find one | Sentiment: Positive
Text: sotodance photoboth black amp white wayyy old call herbert lol love like living legend got ta love berlin lt | Sentiment: Positive
Text: pixiepan lol www tv com friend | Sentiment: Positive
Text: wont miserable least weeks tho | Sentiment: Positive
Text: tom chaplin marry please melt hahaha pearshapebodygirl stopped talking yes | Sentiment: Positive
Text: attempting make hot cross buns bella amp ari | Sentiment: Positive
